Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",0805,64,D,
J1,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,AudioPlug3,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R4, R5, R6, R7, R8, R9",0805,20,10k,
SW1,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,1,RotaryEncoder_Switch,
"SW10, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW65, SW7, SW8, SW9",SW_Hotswap_Kailh_MX_1.00u,55,SW_Push,
"SW14, SW22, SW6",SW_Hotswap_Kailh_MX_1.25u,3,SW_Push,
SW3,SW_Hotswap_Kailh_MX_1.50u,1,SW_Push,
SW38,SW_Hotswap_Kailh_MX_6.25u,1,SW_Push,
SW4,SW_Hotswap_Kailh_MX_1.75u,1,SW_Push,
"SW5, SW63",SW_Hotswap_Kailh_MX_2.00u,2,SW_Push,
SW64,SW_Hotswap_Kailh_MX_ISOEnter,1,SW_Push,
U1,CR2013-MI2120,1,CR2013-MI2120,
U2,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
"U3, U4",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC165,
