Designator,Mid X,Mid Y,Rotation,Layer
C1,408.0,-112.0,0.0,bottom
C2,408.0,-102.0,0.0,bottom
D1,43.445,-33.54,90.0,bottom
D10,72.445,-53.04,90.0,bottom
D11,76.945,-72.54,90.0,bottom
D12,81.945,-92.04,90.0,bottom
D13,70.445,-111.54,90.0,bottom
D14,213.485,-72.63,90.0,bottom
D15,257.565,-92.04,90.0,bottom
D16,277.065,-92.04,90.0,bottom
D17,82.445,-33.54,90.0,bottom
D18,91.945,-53.04,90.0,bottom
D19,96.445,-72.54,90.0,bottom
D2,47.945,-53.04,90.0,bottom
D20,101.445,-92.04,90.0,bottom
D21,94.945,-111.54,90.0,bottom
D22,209.025,-53.01,90.0,bottom
D23,237.945,-92.04,90.0,bottom
D24,296.525,-91.9775,90.0,bottom
D25,101.945,-33.54,90.0,bottom
D26,111.445,-53.04,90.0,bottom
D27,115.945,-72.54,90.0,bottom
D28,120.945,-92.04,90.0,bottom
D29,116.97,-111.4375,90.0,bottom
D3,50.58,-72.55,90.0,bottom
D30,199.7,-33.4875,90.0,bottom
D31,232.945,-72.6025,90.0,bottom
D32,328.93,-111.54,90.0,bottom
D33,121.485,-33.4775,90.0,bottom
D34,130.905,-53.0,90.0,bottom
D35,135.445,-72.54,90.0,bottom
D36,140.445,-92.1025,90.0,bottom
D37,189.92,-107.5,180.0,bottom
D38,219.35,-33.4475,90.0,bottom
D39,228.43,-53.04,90.0,bottom
D4,52.945,-92.04,90.0,bottom
D40,328.97,-92.04,90.0,bottom
D41,140.865,-33.4775,90.0,bottom
D42,150.445,-52.9375,90.0,bottom
D43,154.93,-72.46,90.0,bottom
D44,159.945,-92.1025,90.0,bottom
D45,257.28,-111.4375,90.0,bottom
D46,238.81,-33.51,90.0,bottom
D47,247.81,-52.9775,90.0,bottom
D48,328.85,-72.04,90.0,bottom
D49,160.445,-33.4775,90.0,bottom
D5,46.16,-111.5125,90.0,bottom
D50,170.025,-52.9375,90.0,bottom
D51,174.51,-72.3975,90.0,bottom
D52,179.445,-91.9775,90.0,bottom
D53,277.2,-111.5,90.0,bottom
D54,258.365,-33.54,90.0,bottom
D55,267.31,-53.04,90.0,bottom
D56,328.93,-52.4775,90.0,bottom
D57,179.945,-33.54,90.0,bottom
D58,189.445,-53.04,90.0,bottom
D59,193.945,-72.6025,90.0,bottom
D6,218.5,-91.9625,90.0,bottom
D60,198.85,-91.9375,90.0,bottom
D61,296.84,-111.58,90.0,bottom
D62,287.51,-33.47,90.0,bottom
D63,295.445,-65.4775,90.0,bottom
D64,328.97,-33.4375,90.0,bottom
D7,252.58,-72.4125,90.0,bottom
D8,272.165,-72.4025,90.0,bottom
D9,62.945,-33.54,90.0,bottom
R1,392.18,-98.94792,0.0,bottom
R10,341.595,-79.9425,270.0,bottom
R11,344.645,-64.6175,90.0,bottom
R12,345.195,-51.8125,270.0,bottom
R13,339.195,-64.53,90.0,bottom
R14,339.195,-36.725,90.0,bottom
R15,341.695,-36.725,90.0,bottom
R16,344.695,-36.725,90.0,bottom
R17,336.695,-36.725,90.0,bottom
R18,336.695,-51.725,270.0,bottom
R19,338.695,-51.725,270.0,bottom
R2,388.0,-99.5,180.0,bottom
R20,342.195,-51.6375,270.0,bottom
R3,383.5875,-100.5,180.0,bottom
R4,391.4125,-96.0,0.0,bottom
R5,344.245,-79.9425,270.0,bottom
R6,336.195,-64.53,90.0,bottom
R7,335.695,-79.9425,270.0,bottom
R8,338.645,-79.9425,270.0,bottom
R9,341.695,-64.6175,90.0,bottom
SW1,393.93,-107.94792,0.0,top
SW10,54.365,-34.54,0.0,top
SW11,63.865,-54.04,0.0,top
SW12,68.525,-73.54,0.0,top
SW13,73.445,-93.04,0.0,top
SW14,61.865,-112.54,0.0,top
SW15,204.945,-73.58,0.0,top
SW16,249.025,-93.04,0.0,top
SW17,268.525,-93.04,0.0,top
SW18,73.865,-34.54,0.0,top
SW19,83.445,-54.04,0.0,top
SW2,34.81,-34.54,0.0,top
SW20,87.945,-73.54,0.0,top
SW21,92.945,-93.04,0.0,top
SW22,86.28,-112.54,0.0,top
SW23,200.525,-54.04,0.0,top
SW24,229.445,-93.04,0.0,top
SW25,288.025,-93.04,0.0,top
SW26,93.445,-34.54,0.0,top
SW27,102.865,-54.04,0.0,top
SW28,107.445,-73.54,0.0,top
SW29,112.445,-93.04,0.0,top
SW3,39.525,-54.04,0.0,top
SW30,108.525,-112.54,0.0,top
SW31,191.255,-34.58,0.0,top
SW32,224.5,-73.6025,0.0,top
SW33,320.485,-112.54,0.0,top
SW34,112.945,-34.54,0.0,top
SW35,122.365,-54.04,0.0,top
SW36,126.945,-73.54,0.0,top
SW37,131.865,-93.04,0.0,top
SW38,178.085,-112.54,0.0,top
SW39,210.865,-34.54,0.0,top
SW4,41.945,-73.54,0.0,top
SW40,219.945,-54.04,0.0,top
SW41,320.485,-93.04,0.0,top
SW42,132.365,-34.54,0.0,top
SW43,141.945,-54.04,0.0,top
SW44,146.445,-73.54,0.0,top
SW45,151.525,-93.04,0.0,top
SW46,248.835,-112.54,0.0,top
SW47,230.365,-34.54,0.0,top
SW48,239.365,-54.04,0.0,top
SW49,320.405,-73.04,0.0,top
SW5,44.42,-93.0,0.0,top
SW50,151.945,-34.54,0.0,top
SW51,161.525,-54.04,0.0,top
SW52,166.025,-73.54,0.0,top
SW53,171.025,-93.04,0.0,top
SW54,268.755,-112.54,0.0,top
SW55,249.865,-34.54,0.0,top
SW56,258.865,-54.04,0.0,top
SW57,320.485,-53.54,0.0,top
SW58,171.525,-34.54,0.0,top
SW59,181.025,-54.04,0.0,top
SW6,37.445,-112.54,0.0,top
SW60,185.525,-73.54,0.0,top
SW61,190.365,-93.04,0.0,top
SW62,288.34,-112.58,0.0,top
SW63,278.92,-34.5,0.0,top
SW64,285.5,-63.5,0.0,top
SW65,320.485,-34.04,0.0,top
SW7,209.865,-93.04,0.0,top
SW8,243.945,-73.54,0.0,top
SW9,263.53,-73.58,0.0,top
U1,402.43,-60.93042,90.0,top
U2,363.93184,-60.67,180.0,top
U3,340.005,-44.54,180.0,bottom
U4,340.005,-72.54,180.0,bottom
